komentar,cleaned,sentimen,emosi
"Kalo dilihat dari tampangnya kek orang baik,,, ternyata harta,keluarga,ilmu dan jabatan,ga bikin seseorang puas,apabila kurangg iman....miris ..",kalo lihat tampang kek bikin orang kur,Negatif,Lainnya
Aku bingung ..Badannya kurus tapi koq...dadanya??? 🤔🤔 Ada yg ngeh ga sih??,aku badaya kurus nya yg ngeh ga sih,Negatif,Lainnya
Salfok kaki dokternya putih bngt,salfoaki dokter putih,Negatif,Lainnya
Semoga dibuat bonyok sih di dalam sel,moga buat bonyok sih dalam,Netral,Lainnya
"MENDING SUNATAN SESAKEUN SIKINA HUNGKUL,, CABUL SI KOPLOK NITIP SAKER ORG SEL,,RAJAMM😡",mending sunat sesakeun sikina si koplok nitip saker org,Negatif,Marah
Mirip suaminya uni shanty di chinaa,mirip suami uni shanty,Positif,Lainnya
"Bikin malu org Kalimantan, zzzzz",bikin malu org,Negatif,Lainnya
Apa jauh dr istri Jd begitu😮,apa jauh dr istri jd begitu,Negatif,Lainnya
Putih bgt itu kaki,putih bgt,Negatif,Lainnya
Bego banget sumpah,bego banget,Negatif,Lainnya
"Kasian ibu nya,😭",kasi ibu,Negatif,Sedih
Sayg x sekolah gt mahal gk semua org bs msh,sayg x sekolah gt mahal gk semua org bs,Negatif,Lainnya
Itu di sel nanti nasib nya gimana ya,di sel nasib nya gimana,Negatif,Lainnya
Menyala balsem bg napi 🔥🔥,nyala balsem bg napi,Negatif,Lainnya
Padahl kayak ganteng gitu ya .. putih .. idaman 😂,padahl kayak gantenitu idam,Negatif,Lainnya
dadanya gede kek cewek ya,nya gede kek ceek,Negatif,Lainnya
"@enda_sagita ni yg ku maksud, tk mungkin tk nafsu kan🤣",ni yg ku tk mungkin tk nafsu kan,Negatif,Lainnya
salfok dia ber TT,salfok ber,Netral,Lainnya
Buka dong maskernya. Kasih liat mukanya,buka dong kasih liat,Negatif,Lainnya
percuma sekolah tinggi2 kalo mentoknya cuma selangkangan,percuma sekolah tin kalo mentok cuma,Negatif,Lainnya
"Hancur semua kehidupannya, karir yg dia rintis",hancur semua karir yg,Negatif,Lainnya
Putih mulus bngtt bjir,putih mulus bng,Negatif,Lainnya
Betul badan nya gitu amat😂,betul badaya gitu amat,Netral,Lainnya
Sngj ambil anestesi kyknya nih orng.. dokter harusnya nyembuhin org sakit.. Eee dianya malah sakit sndri😂😂😂,sngj ambil anestesi kyknya nih dokter harus nyembuhin org e dia malah sakit sndri,Negatif,Lainnya
Emosi bet sm ni bocah,emosi bet sm ni,Marah,Marah
Kykny bisa habis dia di penjara nanti...,kykny habis di penjara,Netral,Lainnya
"Orang kaya nih, udah bisa berhasil nekan korban untuk berdamai. Lu udah nikah ya, gak bakal tenang deh liatin.. 😒😒",orang kaya udah hasil nekan korban ldah nikah gak bakal tenang deh,Netral,Lainnya
Hah dokter ???,hah dokter,Netral,Lainnya
Badanya kurus...kenapa teteknya besar kaya perempuan?,bada knya besar kaya perempuan,Negatif,Lainnya
Sisi negatif ilmunya Walid kebawa bawa Jdi gni😢,negatif ilmu alid jdi gni,Negatif,Sedih
Buang buang waktu buang duit apa yg lu cari ujungnya martabat yg lu buang bego!,aktu buang duit apa yg lu cari ujung martabat yg lu buang bego,Negatif,Lainnya
"Wuiiih.. Dokter makin kesini makin gimana ya. Awalnya dokter skincare itu, skg ini..",dokter makin kesini makin gimana yalnya dokter skincare skg,Negatif,Lainnya
Setann apaaaaaa yg merasuki muuuuu,seta ap yg rasuk,Negatif,Lainnya
Kan udah d sumpah kamu teh knp ahh,kan udah d sumpah kamu teh knp,Negatif,Lainnya
Mmg udh niat kayaknya. Makanya jd dr anastesi 😏,g udh niat makanya jr anastesi,Negatif,Lainnya
"Ganteng, putih, kaya,pintar, punya istti cantik, apa lagi yg kurang mas?",isi apa yg kurang mas,Netral,Lainnya
Minimal pake bra Mas’e,minimal pake bra mas,Netral,Lainnya
Tinggal dtunggu smpek keputusan akhir sih. Krna scara dia mgkin org kaya yg mgkin akan cari pengacara lvl atas,tal dtunu smpeeputusan akhir krna scara mgkin org kaya yg mgkin cari acara lvl,Negatif,Lainnya
Bisa begini kenaa ya,begini ken,Netral,Lainnya
dolane kurang adoh,dolane kurang,Negatif,Lainnya
Maskernya dibuka biar smua lihat dan hati2 lihat orang ini.. 🙏,masker buka biar smua lihat hati lihat orang,Negatif,Lainnya
"Masih junior loh,,koq bs dan berani,,berarti ada senior2 nya juga yg biasa melakukan nih,,waahhh mesti diusut tuh,,",junior bs ada senior nya yg biasa,Netral,Lainnya
potong titid nya gaesss,potong d nya,Negatif,Lainnya
Klo kasus ini gw heran bangat nih ...😮,klo kasus g heran bangat,Negatif,Lainnya
Mmpus lu sama napi lain nanti😂,pus lu sama napi laianti,Negatif,Lainnya
"Dedeg rupa hade kalakuan haram jadah moral na bejad , lebar menang kuliah ngaratus juta , akhir na urusan jeung jeruli besi polisi , korban perasaan aing mah euy",g rupa hade kalakuan haram jadah moral na bejad menang kuliah ngaratus juta na urus jeung juli besi polisi perasn aing mah,Negatif,Lainnya
"Korban apakah sunda, kalau iya fix fakta🙌",korban kalau iya fix fakta,Negatif,Lainnya
"Tak cukup kepandaian, integritas dan attitude jg dibutuhkan😢",tak cukup integritas aitude jg butuh,Negatif,Sedih
"Udah bener ente jadi dokter gaji gede kalau mau tinggal beli , malah bikin kasus . Kasus men",udah bener ente jadi dokter gaji gede kalau mau tal beli bikin kasus,Netral,Lainnya
"Hehh, ga lama 5 tahun lagi lepas itu orang. Kan hukum di indo masing miring bergaris ke fulus/uang 😂😂😂",ga lama tahun lepas kan hukum dndo masing miring gar fulus uang,Negatif,Lainnya
Maskernya buka dong...,masker buka,Negatif,Lainnya
"Heeeeeuuuhhh bangsat heunceut,podaran anying",heuh bangsat,Negatif,Marah
Salam olahraga dari suka miskin,salam olahraga suka,Netral,Lainnya
"duit loba cing atuh nga michat weh, teu ngamichat ge sekals maneh mah bisa loba awewe naha kudu ka pasen monyet",duit loba cing atuh nga michat teu ngamichat ge sekals maneh mah lob naha kudu ka pasen,Netral,Lainnya
loh kok punya susu😆,loh kok punya,Negatif,Lainnya
"eh seriusan, dari segitu banyak orang gak ada yang nabok, nampar, jambak ??? 😢😢😢",eh segitu banyak oranak yang jambak,Negatif,Sedih
"Untung dia bukan dokter kandungan,😂",untung bukan dokter,Negatif,Lainnya
Ari nu kieu di gugulung.kasus korupsi jarempling,ari nu kieu korupsi,Negatif,Lainnya
"bjir gyno , kebanyakan minum gingko biloba keknya wkwk",bjir gyno minum gingko biloba kek,Negatif,Lainnya
Nanti tau rasanya di jail,tau rasa,Netral,Lainnya
rs hasan sadikin?,rs hasan sadikin,Netral,Lainnya
Kenapa di pakein masker. Buka gak?,di pakein buka gak,Negatif,Lainnya
Kaki nya putih banget😮,kaki nya putih banget,Negatif,Lainnya
"Makin takut ke rshs, udh ke borromeus aja lah yg lebih terpercaya, mahal juga gpp da ada kualitas 😍",makin takut udh boomeus aja lah yg lebih mahal g dda kualitas,Takut,Takut
Kuliah kedokteran teramat sangat mahal....duuuhhh gimana orang tuanya ya....kasihan banget,kuliah dokter amat sangat duh gimana orang kasihan,Negatif,Lainnya
Dia bukannya tinggal bareng istri ny d apartemen residence Parahyangan d Ciumbuleuit?,bukaya tal bareng istri ny d apartemen residence parahyangan d ciumbuleuit,Negatif,Lainnya
Mkir gmn prsaan istriny.. 😢😢😢,mkir gmn prsn,Negatif,Sedih
Tak tag orangnya @dripaniakbar,tak tag orang,Negatif,Lainnya
Ini ce apa co?,ce apa co,Netral,Lainnya
Kasihan ibu nya pasti hancur anaknya disekolahkan smp jd dokter ujungnya melakukan pelecehan.hilang sdh gelar dokternya sayang banget,kasihan ibu nya hancur anak sekolah smp jokter ujung laku sdh gelar dokter sayang,Netral,Lainnya
"padahal ga ush lapor korban ny,minta tanggung jawab dan nikahin,Bodoh kali si korban ga bsa main licik balik,pdhl bisa simpan bukti trs klo ga di nikahin akan disebar,kan enak pnya suami cakep kaya gelar dokter.
kecuali korban di perkesong kang galon,baru lah serah mau lapor2 jg😂😂😂",padahal ga ush lapor korban tanung jaab kali si korban ga bsa main licik simpan bukti trs klo ga nikahin enak pnya suami cakep kaya gelar korban perkesong kang lah serah mau lapor jg,Netral,Lainnya
Orangtuanya mana tuh?ga muncul,orangtuanya mana tuh ga,Negatif,Lainnya
Tolong ijinkan para suami utk ikut masuk ke dalam ruang operasi ataupun pemeriksaan obgyn lainnya. Agar istri lebih tenang dan mencegah terjadinya pelecehan oleh oknum nakes,ijinkan suami utk ikut masue ruang operasi atau pemeriksn obgyn laiygar istri lebih tenang cegah jadi leceh oknum,Negatif,Lainnya
Spil info semua keluarganya. Biar netizen melakukan tugasnya untuk membalas.,spil info semua biar netizen laku tugas,Netral,Lainnya
Lapas gunung sindur siap nampung ✊✊✊,lapas gg sindur siap nampung,Negatif,Lainnya
Masuk sel bonus nya banyak ni orng😂😂,masuk sel bonus nya banyak ni orng,Negatif,Lainnya
Malu maluin.ga kasian sm.org tua biaya kedokteran mahal,kasi tua biaya dokter,Negatif,Lainnya
Wah putih.. selamat jd santapan empuk di lapas.. apalagi tau kasusnya beginian.. kepada penghuni lapas yg sdh hausss dipersilahkeunnn 😂,ah selamat jd santap empuk apalagi tau kasus huni lapas yg sdaus dipersilahkeun,Negatif,Lainnya
Inilah pentingnya Adab dulu baru Ilmu.,ini pentingnydab dulu baru,Negatif,Lainnya
Beneran ada kelainan sex? Atau hanya menutupi,beneran lain sex hanya,Positif,Lainnya
Wah banyak korban x tu dok,ah banyaorban x tu,Negatif,Lainnya
lanang susune gede men,lg ne gede,Negatif,Lainnya
Tenang polisi nya akan cair 😂,tenang polisi nykan cair,Negatif,Lainnya
di penjara tersangka rudapaks* hrsnya sangat diwelcome oleh tahanan lain,penjara sangka rudapaks hrsnya sangat dielcome tah,Negatif,Lainnya
Parah bgtttt dulu pernah ke rshs,parah bg dulu pernah,Negatif,Lainnya
Hyper ininmahh hahahah,hyper ma,Negatif,Lainnya
Apa nga menutup kemungkinan ada korban selain yg ngelapor ini ya,apa nga tutup mungkin korban yg ngelapor,Negatif,Lainnya
"Ternyata dokter juga manusia ya selama ini dokter tuh kek yg pinter,cakep,kaya baik hati gitu😢",nyata dokter manusia lama dokter tuh kek yg baik hati gitu,Negatif,Sedih
Gak apa2 di Lapas banyak pasien juga kok. 😂😂😂😂,gak apa lapas banyak pasien,Negatif,Lainnya
Ko engga pake BH Dok,ko ena pake bh,Negatif,Lainnya
Nafsu sesaat menghancurkan kehidupan dan masa depan,nafsu sest hancur hidup masa,Negatif,Lainnya
"Ka mahal"" sakola dokter ujung"" na di bui😓",ka sakola dokter na bui,Negatif,Lainnya
Knp hukuman cm 12 tahun seharusnya seumur hidup!!😢,knp hukum cm tahun umur hidup,Negatif,Sedih
Ya Allah jd dokter karena pinter tp kok malah ujung2nya masuk bui,yah jokter pinter tp kok malah ujung masuk,Negatif,Lainnya
Ilmu Tanpa Iman Luntur 🤔,ilmu iman luntur,Netral,Lainnya
Astaghfirullah nauzubillah 😢,astaghfiruah nauzubiah,Negatif,Sedih
Kok ada tete nya dok ?,kok nya dok,Negatif,Lainnya
Jangan - jangan bukan yang pertama? Apakah modus praktek seperti ini sudah lumrah?,jangan jangan bukan pertama modus praktek sepertni lumrah,Negatif,Lainnya
Ud sering kau kan?,ud sering kau kan,Negatif,Lainnya
Naha aya susuan:(,nahya an,Negatif,Lainnya
Sayang bgt habis duit banyak buat jd dokter tp hancur grgr ulah sendiri wkwkwk sukurr,sayang bgt habis duit banyak buat jokter tp hancur ulah sendiri k,Netral,Lainnya
wajarlah manusia bukan nabi boy,ajar manusia bukaabi,Negatif,Lainnya
Katanya ada 2 pelaku... pelaku 1 lg mana?,katanyda laku lg mana,Negatif,Lainnya
RSHS juga hrs tgjawab kok bisa ada satu lantai gedung bebas begitu …,rshs hrs tgjaab kok bisda satu lantai gedung bebas,Netral,Lainnya
Salfok sama kulit ny putih bener,salfok sama kulit ny putih,Netral,Lainnya
Istiqfar ya Alloh..iman ada dimana dok.😢😢,istiqfar iman mana,Negatif,Sedih
Kirain cewek barusan,kirain ceek,Netral,Lainnya
Si tersangka lupa pake bra,si sangka luke,Negatif,Lainnya
Percuma Sakola dokter .. eeeehhh otakna ngadon leungit,percuma sakola h otakna ngadon,Negatif,Lainnya
Kelaianan ihhhh😢,kelai i,Negatif,Sedih
Tampang doang bego,tampang doang,Negatif,Lainnya
Nanti disel siap siap disambut para bapa yang lagi rindu putri putrinya,disel sambut bapa lagi rindu,Negatif,Lainnya
"Percayalah ini bukan yg pertama kali nya.
Sehat dohir batin ancur. Sing di raksa gusti",percaya bukan yg pertama kali sehat dohir batin sing raksa,Negatif,Lainnya
Gak kasian kah sama anak istri kalo sudah begini dok??,gaasian samnak istri kalo begini dok,Negatif,Lainnya
Cm 1 org kah pelakunya?,cm org laku,Negatif,Lainnya
Nak utek wis pindah dengkul ki susahhh...rak waras,nak utek is pindah dengkul ki rak,Negatif,Lainnya
Speechless gw..mempertaruhkan hidup dan gelar nya krn nafsu,spchle taruh hidup gelar nya,Negatif,Lainnya
"Padahal dia dokter,, ganteng,, kaya,, gampang banget cari cewek,, gua yg bukan dokter aj gampang cari cwek,, enak kalo sama cewek sendiri,, mau di apain jg oke2 aja😂",padahal banget cari yg bukan dokter aj gampang cari sama ceek apain jg oke aja,Netral,Lainnya
Bro goodlooking dan bro tidak selamat,bro gdlking bro,Netral,Lainnya
Ukuran 32 A ?,ukur a,Netral,Lainnya
Seperti nya tertekan Dokter itu dirumah tak dapat dari istri jadi terangsang kepasien,nya tekan dokter rumah tak darstri jadi rangsang,Negatif,Lainnya
"katanya ayah korban pun meninggal dunia yak ,",katanyyah korban tal dunia,Negatif,Lainnya
Waduh habis nih sama bang napi. Main dokter-dokteran nih di sel. Bang napi jadi dokter bedah kepala 😂,aduabis nih sama bang main dokter dokteraih bang napi jadi dokter bedah kepala,Negatif,Lainnya
"Semoga pengambilan obat oleh tenaga kesehatan lebih diperketat lagi, agar ngak salah guna",moga ambil obat tenaga sehat lebih ketat ngak salah,Netral,Lainnya
Masyallah ya gimana keluarganya itu menyekolahkan kedokteran kan tidak sedikit duit akhirnya kandas pupus harapan keluarga😢,masyaah gimana keluarga sekolah dokter kan sedikit duit akhir kandas s harap keluarga,Negatif,Sedih
Nyuntikinnya 15 kali IV nya wah gak jago pasang infus ini 😂,nyuntikiya kalv nya ah gak jago pasang infus,Negatif,Lainnya
Ahhh bkln celaka udh di dlm sel😂,ah bkln celaka udh dlm sel,Netral,Lainnya
susah Padahal kuliah nya trus mahal juga eh malah gtu hdeh,susah padahal kuliah nya trus mahal eh malah gtu,Negatif,Lainnya
Setahu saya masuk klinik saja buanyak sekali orang jaga. Nakes maupun non nakes. Apalagi rumah sakit sekelas ibukota propinsi. Masak iya kegiatan berjam-jam sama sekali tidak ada yg tahu?,tahu masulinik buanyak sekali orang nakes rumah sakit kelas ibukota masak iya giat jam jam sama sekali ada yg tahu,Netral,Lainnya
Cowo tapi ada PD nya ya .. kaya cewe .. cuma tanya pake nada rendah,coo ada pd kaya cuma tanya pake nada,Negatif,Lainnya
"Aku yang mau kuliah aja harus bertarung dengan gaji, kebutuhan & umur 🙂 dia yang udah enak, tinggal jalani aja kalau udah kelar kerjanya juga terjamin, malah ada aja kelakuannya. Kadang akhirnya aku mikir, ternyata niat Allah baik dengan memberi nikmat sesuai porsi-Nya. Karena jika lebih, takut jadi orang dzolim",aku mau kuliah aja tarung butuh umur yang udah tal jalan aja kaladah kelar kerja malah adja kadang akhirnyku nyata niat aah baik beri nikmat sesuai porsi jika takut jadi orang,Takut,Takut
Karir ancur kehidupan ancur.. Real jelema bodo 😂,karir ancur real jelema bodo,Negatif,Lainnya
ADA APA DENGAN INDONESIA SUMPAHHHH...MACAM KITA LAGI KENA SESUATU...BANYAK PERSELINGKUHANN..KORUPSI SANA SINI..PELECEHANN..PEMERKOSAANNN..YAA ALLAHHH ADA APA INIII KOK TAMBAH MENAKUTKANN SAJA SETIAP HARINYAA KAYA BANYAK KEJUTANNYAA😢😢,adpa indonesia macam lagi kena banyak korupsi sana y aah adpa kok tambah menakutka tiap hariny kaya banyaejutay,Negatif,Sedih
Kakinya putih susu anjir,kaki putih,Netral,Marah
Takutnya di penjara dia jadi target pemerkosaan jg😮,takut penjara jadi target pemerkosn jg,Takut,Takut
Tolong tangkap satpamnya juga @komnasperempuan @polrestabandung @humasrestabdg @divisihumaspolri @temanpolisi @rshs_bandung,tangkap satpam,Negatif,Lainnya
Pasti istri sama kluarga malu bangat,paststri sama kluarga malu,Netral,Lainnya
Adab diatas daripada ilmu,adab atas,Netral,Lainnya
Kuliah nya butuh waktu tahunan...uang kuliah nx ngabisin ratusan juta..syukuran wisuda gelar kedokteran nx jg pake duit eeh hancur dlm 1 hari 🤦‍♀️😅,kuliah nya butuh aktu uang kuliah nx ngabisin ratus syukur isuda gelar kedokterax jg pake duit ancur dlm hari,Netral,Lainnya
Busyettt di RS aja ada pemerkosa yaa...kacau nih dunia 🫣,busyet rs ajda perkosa kacau nih dunia,Negatif,Lainnya
Baru 5 bulan kecewa hari ini sama pelayan rshs skrg timbulah berita ini... masyallah Allah SWT maha baik satu2 Allah SWT tampilkan sisi buruk dr salah satu ok um dr.residance yg berada dsna...ga bohong...kecewa banget sama bbrpa dokter residence d RSHS...,baru bulan kecea harni sama layan rshkrg timbulah berita masy st maha baik satu aah sampil buruk dr salah satu um desidance yg ada ga kecea banget sama rpa dokteesidence d,Sedih,Sedih
3 orang kan korbannya??,orang kan korbaya,Negatif,Lainnya
Kaki nya putih bangetttt,kaki nya putih,Negatif,Lainnya
Skrng baju tahanan ganti warna jadi biru yaahh... Terlalu bagus sih warnanya buat penjahat kek gituh,skrng baju tah ganti arna jadi biru terlalu baguih arnanya buat jahat kek,Netral,Lainnya
kek benenen ni dr wkwk jd curiga😂,kek bei dr jd curiga,Negatif,Lainnya
"Gmn malunya istri anaknya, apalagi orang tuanya...astaghfirullahaladzim,naudzubillahminzalik",gmn malu istri anaknypalagi orang,Negatif,Lainnya
Mungkin ingin mencoba tantangan baru 🤣,mungkgin coba gan baru,Negatif,Lainnya
kuntul nya gatel banget ya bg?,kuntul nya gatel banget bg,Negatif,Lainnya
Hancur hidup cuma krna nafsu sesaat ya,hancur hidup cuma krfsu sest,Negatif,Lainnya
Kelainan jiwa pasti dèh..kok bisa kuliah di kedokteran?? Tes kejiwaan nya gimana ya??,lain jia d h kok kuliah dokter tes kejiya gimana,Netral,Lainnya
"Cakep ganteng pinter,kenapa ga nyari LC aja hancur karir dlm sekejap",cakep gantena nyari lc aja hancur karir dlm,Negatif,Lainnya
kalau orng yaman ramai pasti dan dikaitkan ke calon peserta pilpres. fakta🔥,kalau orng yaman ramai dan kait calon serta fakta,Netral,Lainnya
"Padahal daerah Saritem banyak loh yg 250K, bonus HIV, SIFILIS, DAN AIDS",padahal daerah saritem banyak loh yg bonus,Negatif,Lainnya
Ko kaya ber TT,ko kaya ber,Negatif,Lainnya
"Astaganaga,,,, hilang akal sehat. Agak laen,,,, Biaya Kuliah mahal, karir pun hanchorrr gara2 ga bisa nahan navshu .",akal kuliah karir hanchor gara ga,Netral,Lainnya
Buka tuh maskerny,buka tuh,Netral,Lainnya
Nafsuan banget si dok coba ke entog ga bakal rame🗿,nafsu banget si dok coba kntoa bakal rame,Negatif,Lainnya
loba teuing maehan jelema,loba teuing maehan,Negatif,Lainnya
Ai dokter sehat,ai dokter,Negatif,Lainnya
"Kenapa harus pakai masker, tolong pelaku begini ga usah ditutup2in wajahnya..",harus pakai laku begini ga usah pin,Negatif,Lainnya
Eman² dokternya pak 😭 nafsu mu merusak karirmu 😭,eman dokter pak nafsu mu merusaarirmu,Negatif,Sedih
"Yg herannya aku,kog penunggu pasien kog disuntik?gmn ceritany",yg heraya tunu pasien kog suntik gmn,Negatif,Lainnya
salfok ma kulit mulus dan gunung putrinya😂,salfok ma kulit mulus gg putri,Negatif,Lainnya
Ig nya apa gaes,ig nypa,Negatif,Lainnya
"Itu cwe apa cwo sih, ko ada nen nya🤭😅",ce apa co ko neya,Negatif,Lainnya
"padahal ganteng lho dia, gagah, kuliah kedocteran udah jd docter pula abisin uang banyak, akhirnya harus berakhir seperti ini",padahal ganteng lho kuliah kedocteran udah jocter pulbisin uang banyhirnya akhir,Negatif,Lainnya
Gue kira pake kaos kaki 😮,gue kira pake kaos kaki,Negatif,Lainnya
